ID,X,Y
22270,717771,258002
22281,720814,258082
22282,720814,258082
22290,722893,256204
22301,726046,256641
22310,727676,255506
22320,732211,253006
22331,737749,252793
22340,740327,252065
22351,742657,252398
22361,744996,253474
22362,744996,253474
22130,695597,253747
22140,696944,251597
22150,699065,249059
22160,701812,246977
22371,697895,265827
22381,699644,262785
22390,700085,260490
22110,670942,262134
22120,676939,259601
19581,692124,248891
19590,696659,245281
19601,700382,243561
10012,600135,199992
10011,600135,199992
10020,600542,201197
10030,602030,201791
10040,601999,203608
10050,606400,208505
10060,606677,209801
10070,608488,212011
10081,609644,213343
10091,610327,216179
10100,611233,220489
10110,612024,222039
10121,614240,223596
10131,616416,225655
10140,619204,227395
10151,620327,227701
10161,622833,228565
10170,625011,229939
10180,627137,232201
10190,627872,233148
10200,629360,233914
10210,632202,239017
10220,633940,239867
13152,635712,240912
13151,635712,240912
13160,638221,237438
10231,634465,241750
13140,635398,242709
13000,635512,244872
13011,636250,246040
13012,636250,246040
13013,636250,246040
10241,618398,227316
10251,614730,226638
10260,613090,226959
10270,610832,227975
10281,607850,228150
10282,607850,228150
10283,607850,228150
10290,604379,228627
13020,640083,244704
16382,666300,107450
42411,614511,178297
16130,613868,174912
16141,616276,172624
16161,617711,168711
16170,618824,166812
16180,619205,163632
10300,617122,161336
10311,616173,158603
16191,616173,158603
16311,616173,158603
16201,617343,155082
16211,618146,153142
16221,618511,151381
16230,617866,149354
16241,617492,147508
16251,624335,135335
16261,624705,133378
16271,625088,130174
16280,631211,129063
16291,634149,128370
10321,616820,151470
16321,616820,151470
10331,622930,139150
16331,622930,139150
16341,624220,136900
10351,630300,128688
16351,630300,128688
16040,630301,128689
16030,634185,127082
29990,612865,265666
13490,621481,265337
13500,623930,265965
13510,626720,266830
13520,629682,267952
13530,631730,268550
13540,635424,266461
13550,638412,265785
13560,641498,264850
13570,643239,261930
14890,644475,261211
13580,646522,261257
13590,648382,258748
13600,649945,258645
13610,653184,256548
13621,653824,257708
13630,655166,258682
13640,657776,258853
13650,658557,255239
13660,654489,251615
13670,654794,254072
13680,655017,256784
13690,659534,259676
13700,661281,260523
13710,662970,259401
13720,665394,259193
13734,665428,258494
13740,666213,256861
23990,706001,102001
13170,639881,233112
13190,641111,226146
25651,620327,227701
13200,644410,226137
19610,702323,241611
19621,705650,239967
19631,704766,236438
19640,707014,235435
13041,645462,248811
13052,647055,249431
13051,647055,249431
13060,651981,250498
13070,653131,250403
13081,655267,249172
13082,655267,249172
13091,657787,249525
13092,657787,249525
13100,658586,251029
14900,660085,251814
13110,661055,252829
13120,662660,253200
13130,663354,253425
19091,669107,253996
19081,670948,252752
19082,670948,252752
19071,671834,252082
19072,671835,252082
19061,672945,250979
19050,676140,250300
19042,678170,249905
19041,678170,249905
19032,679637,249353
19031,679637,249353
19022,680954,248983
19390,686189,232553
17901,665125,114148
19401,683685,229751
19381,687137,234845
19411,682257,227778
19420,681643,225356
19431,674885,248288
19441,677712,244840
19450,677834,242264
19460,676182,239158
19470,676291,236638
19480,677126,233080
19490,677861,230456
19501,678802,227557
19511,680968,225336
9999,680080,249450
10431,599583,199610
10432,599583,199610
10360,603248,200700
10370,605071,198165
10380,607511,195847
10390,609209,191293
10400,610475,185221
10410,612141,180162
42412,614511,178297
31450,684600,211419
31460,685782,211829
31530,690293,196905
31520,689992,200408
31540,690337,195108
31550,690889,192280
51561,692068,188003
31570,692362,186131
31580,693647,184728
31590,694196,181826
31601,692133,178974
31610,691663,177310
19021,680954,248983
19011,681837,248385
0,,
65500,680140,249500
10001,599775,200500
31091,722313,116424
22860,715830,280434
13860,649848,224918
31951,668758,211404
40004,543795,200830
45004,549484,201194
16520,562546,123072
44016,701893,169155
44019,696091,181217
44026,701770,169155
44017,705016,151068
44018,705016,151068
44020,705016,151068
44024,705016,151068
44025,714499,136785
42011,692064,188000
42012,692068,188033
42014,701893,169155
42013,701893,169155
42016,701893,169155
42015,701893,169155
42018,705016,151068
42017,705016,151068
42020,705016,151068
42019,705016,151068
